REAGENT or RESOURCE                           ,SOURCE     ,IDENTIFIER
Chemicals; peptides; and recombinant proteins ,           ,

Sodium Chloride                               ,Fisher     ,Cat# S630-10
Tween-20                                      ,Santa Cruz ,Cat# SC-29913
Pierce RIPA Buffer                            ,Thermo     ,Cat# 89901
SDS                                           ,Fisher     ,Cat# BP166-500
Glycine                                       ,Sigma      ,Cat# G-7126
Tris Base                                     ,Fisher     ,Cat# BP154-1
BCA Protein Assay Kit                         ,Pierce     ,Cat# 23225
Precision Plus Protein Dual Color Standards   ,Bio-Rad    ,Cat# 1610374
Restore Western Blot Stripping Buffer,Thermo, Cat# 21059
